,ballpark,elevation
0,las_vegas_ballpark,920
1,greater_nevada_field,1363
2,cheney_stadium,99
3,rio_grande_credit_union_field_at_isotopes_park,1553
4,southwest_university_park,1137
5,chickasaw_bricktown_ballpark,369
6,sutter_health_park,9
7,constellation_field,30
8,dell_diamond,205
9,smiths_ballpark,1288
10,nbt_bank_stadium,116
11,huntington_park,218
12,durham_bulls_athletic_park,111
13,werner_park,354
14,coca_cola_park,111
15,chs_field,229
16,principal_park,245
17,autozone_park,66
18,polar_park,149
19,pnc_field,268
20,truist_field,215
21,louisville_slugger_field,136
22,harbor_park,5
23,vystar_ballpark,4
24,innovative_field,152
25,sahlen_field,178
26,victory_field,212
27,fifth_third_field,174
28,coolray_field,332
29,first_horizon_park,125
30,kia_champions_field,19
31,daegu_samsung_lions_park,66
32,mokdong_baseball_stadium,11
33,mokdong_baseball_stadium,8
34,suwon_kt_wiz_park,54
35,incheon_ssg_landers_field,21
36,sajik_baseball_stadium,28
37,cheongju_baseball_stadium,70
38,changwon_nc_park,10
39,hotto_motto_field_kobe,107
40,meiji_jingu_baseball_stadium,29
41,hanshin_koshien_stadium,3
42,mazda_zoom_zoom_stadium_hiroshima,-1
43,rakuten_mobile_park_miyagi,20
44,yokohama_stadium,11
45,zozo_marine_stadium,4
46,coors_field,1595
47,fenway_park,8
48,great_american_ballpark,161
49,kauffman_stadium,261
50,target_field,252
51,pnc_park,221
52,citizens_bank_park,6
53,nationals_park,2
54,angels_stadium,50
55,dodger_stadium,152
56,busch_stadium,133
57,truist_park,309
58,yankee_stadium,4
59,camden_yards,11
60,guaranteed_rate_field,181
61,comerica_park,176
62,progressive_field,199
63,oakland_coliseum,2
64,wrigley_field,181
65,american_family_field,211
66,oracle_park,3
67,citi_field,5
68,petco_park,4
