,orientation,lf_depth,lc_depth,cf_depth,rc_depth,rf_depth,lf_area,lc_area,cf_area,rc_area,rf_area,total_area,avg_depth,temp_K,u_wind,v_wind,out_to_cf_wind,left_to_right_wind,elevation_m
rio_grande_credit_union_field_at_isotopes_park,5.4151474976325895,314.2888857284958,349.79694886258477,379.8357434587837,376.0002199514096,337.27182663304967,19322.7183249559,23019.32598870912,23514.510115903468,21182.46958696994,16375.056038163615,103411.9090048028,361.9237722340853,290.20636,-0.12722048,-0.6262915,0.39567358117255447,0.501865032320211,1553.0
southwest_university_park,5.701063513786594,262.4187681266459,384.64822229590055,411.29054621383256,384.136289090494,337.2756829601942,21072.742429851456,23432.660667707343,25539.319238550495,24373.457193651695,19144.899946970098,113559.40284835557,379.53685835183023,290.46295,-1.2964077,-0.1773298,-0.9853912445196993,0.8608849387759365,1137.0
chickasaw_bricktown_ballpark,5.3489869837825825,326.0604035572524,385.51548286675006,407.2602532752437,378.0095349709272,330.43419211931223,19725.634461562888,23845.468293961865,26278.15467597974,25271.632386558907,18279.602304113807,113397.65051122723,378.85401362000493,290.20636,-0.12722048,-0.6262915,0.4279873535960138,0.4746081738292767,369.0
sutter_health_park,5.486818669196057,333.23346105953516,382.73477499044697,408.1151144917083,372.0773944418723,322.0373030531844,18842.974533619334,22634.86730131023,25952.366235516154,23889.533890976574,19704.26037330566,111021.35184676657,375.17532827838824,287.1756,-0.14962485,-0.022247849,-0.08873072546066185,0.1225129416913738,9.0
smiths_ballpark,3.973760530225787,259.86730200129574,378.4098764130062,423.38899840090045,378.9636384864562,333.8873784552748,19431.284778656536,24760.68635288838,27861.54148312325,24240.455170254685,19332.732951431426,115623.01158843246,382.4757354812419,287.1756,0.47220573,-0.1683339,-0.19345919030231362,-0.46248037257987074,1288.0
huntington_park,3.954994034652955,325.9302021175908,361.43139124883777,403.92137936010005,342.046811166075,315.8284057326887,16196.173461637472,19594.412939551774,25107.075751937267,22143.575393785188,18596.19731698021,101635.3547587148,358.5740653896343,287.1756,-0.14962485,-0.022247849,0.11896280631437933,0.09343668035871551,218.0
werner_park,5.432469230665521,313.6281716741104,371.4540915046717,402.6316656314631,358.21423736621546,294.02324423124446,18306.446456785456,22510.899531637195,25662.051875118654,23010.159576859172,17671.352994428067,107157.79197489217,368.22783104654724,287.1756,0.47220573,-0.1683339,0.4379391912830324,-0.24397503575654297,354.0
coca_cola_park,5.42142230799028,330.91307343071304,384.6071044502474,401.65900168278904,348.96447164850986,304.2786044756876,16737.492988796166,20686.328598017542,25374.083360843866,23771.440338850287,18479.2521289985,105046.0236794151,364.4987020015582,287.1756,0.47220573,-0.1683339,0.4352173511718608,-0.24879793120721905,111.0
chs_field,4.53067315676558,331.0301005511631,357.80356929914336,395.00146097736433,343.45198498262954,315.0189313995009,16344.98579618733,20197.879543070856,24757.755614691345,21819.884175917545,17812.33435143079,100930.81513128881,357.3549737453264,284.92993,1.0019871,0.4937904,-0.6667366863199395,-0.8962529212302053,229.0
autozone_park,5.0642730436665095,318.5813320824159,364.66613762360646,402.5257107949375,374.99272676605386,321.1337769406137,18265.659540806806,23089.88054424853,25567.186217415547,21298.136537645336,17222.26889919547,105440.62086921587,365.3229846860814,290.20636,-0.12722048,-0.6262915,0.5440667856647589,0.3352870803357889,66.0
truist_field,4.84592520104607,332.2030667143928,352.3656460181686,401.07574152337924,362.24164855308004,310.97294649862016,16545.513602869494,22477.483555195708,24706.9760252311,20384.54919175687,17260.573317596303,101373.2211499393,358.06844060809965,290.20636,-0.12722048,-0.6262915,0.6037777048227576,0.20947213815360594,215.0
louisville_slugger_field,5.96966897590651,290.83707634977156,339.67294044688816,368.7083951132809,362.9242792129451,334.44981469887387,18287.50410644421,20834.498096395164,21546.82556268289,18753.63484349489,15351.635816286815,94772.30895150959,346.6805179710399,287.1756,-0.14962485,-0.022247849,-0.13547002808730627,0.06730849881459072,136.0
harbor_park,3.9202203131527447,336.44179557600864,373.0090098345727,396.3215514222881,359.53135727665307,302.39194446987153,15897.861335023817,21216.315004581447,24409.771555415766,22467.55932230451,18896.747484244104,102885.97918724574,360.85345614355134,290.20636,-0.32657155,-0.2542424,0.41103434048990806,0.04836265258635847,5.0
vystar_ballpark,5.154479624649273,318.23163266699214,369.79523461327943,423.51222561981916,359.9302698145828,318.2929005620894,16421.52265600372,22379.115049897133,27750.876755545407,23662.51935928669,18351.266807909255,108562.42447436125,369.9587493426904,292.28738,-2.322077,-0.766838,-0.3003407311567339,2.426906993970152,4.0
innovative_field,5.123463669304988,221.79381289930615,363.9956450672949,403.41857615320794,379.49168024686946,218.80317140558648,18664.580113464777,23739.941721465493,25484.844067035494,22823.086213685776,18300.266850455115,109006.40344001909,371.4559688553462,285.2839,0.892677,-0.12299916,0.4694613485460404,-0.7691599715995618,152.0
sahlen_field,3.5479380943343797,321.33074691497194,366.5099237703429,388.77163166118413,368.80696481246787,322.5885597197977,18164.543462648307,21528.6871159513,23604.370366631396,21715.51490977322,18242.568886272256,103253.41006970963,361.99933510895784,285.2839,0.892677,-0.12299916,-0.7713715611311474,-0.4658185637861616,178.0
fifth_third_field,4.788211201799461,321.1530602665445,371.5535195724224,408.09260367210214,376.27226952193865,315.1321243493188,18104.464033710636,23469.69049370557,26138.006571705075,22987.888864395085,17746.094642920543,108443.2848759322,370.3685274119935,287.1756,0.47220573,-0.1683339,0.20361964651641243,-0.4580977983865172,174.0
coolray_field,4.220680146822183,353.74094380553663,391.0457315339012,401.14056819845024,370.96239150415784,204.98419783271825,17789.319971876055,22683.28122915537,25162.90494656252,24414.01356753196,21615.6666207991,111660.50214507806,376.06817325139053,291.4186,-0.38261667,-0.54792404,0.6636559677389948,0.07859405992967117,332.0
first_horizon_park,3.6405360659560495,328.1293116909494,381.6847680365605,406.5309002089144,375.86001665039726,311.36157519951723,19181.868291821418,23989.72160159728,25899.20116977734,23632.70624349118,19860.706634781258,112561.20760139659,377.69541242571574,290.20636,-0.12722048,-0.6262915,0.4113901044951634,-0.4890646945212248,125.0
daegu_samsung_lions_park,5.329957848651288,324.11931984414196,355.302783286433,401.6041486178741,354.1516109476419,327.18850312082,17393.22179002922,21410.839286104947,25577.926937419266,21660.93696119685,17249.671946032824,103290.38757144069,361.4543299141946,288.08508,0.18321666,-1.3566331,1.2121400185235036,0.6361904494811335,66.0
