ballpark,park_factor,g_home
Akita,0.6060606060606061,1
Belluna Dome,1.0215290905272,69
ES CON FIELD,1.2375585119487558,72
Fukui,0.6666666666666666,1
Fukushima,0.9696969696969697,1
Gifu,0.8729189789123196,2
HARD OFF Niigata,0.7274590163934427,1
Hirosaki,0.6060606060606061,1
Hitachinaka,0.3333333333333333,1
Hotto Kobe,1.036117381489842,8
Jingu,1.1981424148606812,68
Kagoshima,0.5829959514170041,1
Kitakyushu,1.6004098360655739,2
Koshien,0.8257464676086377,62
Kumamoto,0.8729508196721312,1
Kurashiki,0.14669421487603307,1
Kyocera Dome,0.9373256047562001,73
MIZUHO PayPay,1.013510697415949,59
Maebashi,0.6761904761904762,2
Matsumoto,0.5,1
Matsuyama,0.3643724696356275,2
Mazda Stadium,1.079347371356854,71
Miyazaki,0.7274590163934427,1
Nagasaki,0.7274590163934427,1
Naha,0.5688487584650113,2
Omiya,0.7717391304347826,2
PayPay Dome,1.0426912568306013,6
Rakuten Mobile,0.8227731864095501,66
Tokyo Dome,0.8536090346435175,66
Toyama,0.5,1
Toyohashi,0.9094736842105263,1
Vantelin Dome,0.7952402745995424,69
Yamagata,0.48484848484848486,1
Yokohama,1.0901639344262295,71
ZOZO Marine,1.0819730096057516,71
